Вакансия,Дата,Зарплата,Компания,Требуемый опыт работы,Тип занятости,Проживание,Гражданство,Обязанности:,Требования:,Образование:,Условия:,График работы:
Оператор машинного доения,17 апреля 2023,По договорённости,"ОАО ""ПТИЦЕФАБРИКА ""АТЕМАРСКАЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Животновод,17 апреля 2023,По договорённости,"ОАО ""ПТИЦЕФАБРИКА ""АТЕМАРСКАЯ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Сменный график
Водитель автомобиля,17 апреля 2023,22000,"ООО ""МАЯК""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор по искусственному осеменению животных и птицы,17 апреля 2023,20000,"ООО ""МАЯК""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Оператор машинного доения,17 апреля 2023,20000,"ООО ""МАЯК""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Рабочий по уходу за животными,17 апреля 2023,18679,"ООО ""ОЗЕРКИ ПЛЮС""",Не имеет значения,Частичная,Нет,РФ,NULL,NULL,Полное общее,NULL,Неполный рабочий день
Тракторист,17 апреля 2023,22000,"ООО ""МАЯК""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Ветеринарный фельдшер,17 апреля 2023,35000,"ООО ""МАЯК""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Зоотехник,17 апреля 2023,25000,"ООО ""МАЯК""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Зоотехник,17 апреля 2023,30000,"ООО ""СТАРОЗЯТЦИНСКОЕ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Ненормированный рабочий день
Водитель автомобиля,17 апреля 2023,40000,"ООО ""ПФВ""",Молодой специалист (1-3 года),Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,20000,ИП СЕМЕНОВ И. В.,Молодой специалист (1-3 года),Полная,Нет,РФ,качественно и своевременно выполнять возложенные на него обязанности в соответствии с требованиями,NULL,Полное общее,NULL,Сменный график
